artist_count,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
2,553,147,141381703,125,B,Major,80,89,83,31,8
1,1474,48,133716286,92,C#,Major,71,61,74,7,10
1,1397,113,140003974,138,F,Major,51,32,53,17,31
1,7858,100,800840817,170,A,Major,55,58,72,11,11
1,3133,50,303236322,144,A,Minor,65,23,80,14,11
2,2186,91,183706234,141,C#,Major,92,66,58,19,8
2,3090,50,725980112,148,F,Minor,67,83,76,48,8
1,714,43,58149378,100,F,Major,67,26,71,37,11
1,1096,83,95217315,130,C#,Minor,85,22,62,12,28
2,2953,44,553634067,170,D,Minor,81,56,48,21,8
2,2876,40,505671438,83,F#,Minor,57,56,72,23,27
1,422,55,58255150,150,F,Minor,78,52,82,18,15
1,12211,115,1316855716,118,,Major,71,65,68,6,3
1,3528,98,387570742,130,D,Minor,51,32,43,83,9
1,23575,130,2513188493,174,F#,Minor,52,66,73,34,31
1,8109,77,1163093654,89,G#,Major,64,43,73,5,16
1,2942,77,496795686,120,B,Minor,78,76,59,43,34
1,873,104,30546883,78,,Major,44,14,9,96,10
2,2610,40,335222234,100,B,Major,86,67,66,14,12
1,596,68,363369738,120,G,Major,63,36,73,0,36
3,332,26,86444842,140,F,Minor,65,87,74,22,42
1,516,38,52135248,123,F#,Major,69,82,76,6,6
1,12859,110,1297026226,135,,Minor,48,44,42,12,11
2,1313,40,200647221,133,F,Minor,85,81,67,26,12
3,1945,87,115364561,99,C#,Major,85,83,68,7,36
1,250,26,78300654,130,G,Minor,79,96,86,9,9
2,7112,77,899183384,107,B,Major,80,82,80,43,14
2,859,40,61245289,122,F#,Minor,81,74,71,14,56
1,2420,19,429829812,204,F#,Major,52,52,68,46,15
1,2988,101,127408954,110,B,Minor,67,78,85,2,33
1,864,78,22581161,126,F,Minor,74,35,84,0,11
2,266,34,52294266,168,F#,Major,56,63,87,39,11
3,6036,88,843957510,98,C#,Minor,71,17,61,36,8
1,9082,56,999748277,97,E,Major,64,51,63,12,19
2,4284,49,618990393,180,E,Minor,72,61,63,67,9
8,1150,31,123122413,120,,Major,81,63,68,11,11
2,672,34,188933502,150,F#,Major,61,39,73,37,11
1,11434,53,1355959075,96,F,Major,75,57,68,9,13
1,7830,42,786181836,95,D,Major,60,48,79,0,12
1,584,28,176553476,125,F,Minor,79,96,85,27,11
2,692,25,354495408,144,A,Minor,56,84,65,23,10
2,24094,78,2808096550,90,D,Major,76,91,50,54,7
2,12482,80,1109433169,128,G,Minor,56,38,97,4,35
3,13387,64,1047101291,79,F#,Major,56,58,56,37,11
3,1117,80,65156199,144,,Major,77,75,58,52,23
1,3372,19,570515054,122,F,Major,67,49,64,10,10
1,8431,76,1085685420,140,,Major,71,82,81,11,6
1,2483,59,1647990401,134,C#,Minor,59,51,52,9,15
2,29536,79,2565529693,186,G,Major,68,49,59,16,13
2,3408,47,518745108,67,C#,Minor,53,50,53,23,44
3,1298,38,107753850,106,A#,Minor,72,17,64,7,10
3,4277,66,177740666,128,G,Major,60,23,91,0,12
1,1133,39,153372011,107,F#,Minor,92,55,70,18,15
1,2259,59,57876440,130,G,Minor,67,96,88,12,8
1,18371,83,1813673666,123,E,Minor,45,13,54,70,9
1,43899,69,3703895074,171,C#,Major,50,38,80,0,9
1,2649,42,256483385,137,G,Minor,64,88,72,51,17
1,6804,45,1214083358,125,G,Minor,84,85,68,58,22
1,525,41,16011326,128,,Minor,86,42,72,59,9
1,7923,29,812019557,130,,Minor,61,53,58,55,27
2,731,15,111947664,130,B,Major,86,59,96,50,9
2,5184,41,156338624,133,F,Major,70,86,81,25,25
3,3107,39,720434240,101,D,Major,88,72,59,62,9
2,4053,50,357925728,95,F,Minor,77,53,64,74,17
2,4637,38,674072710,98,C#,Minor,90,40,59,0,10
1,31358,43,1755214421,173,B,Major,43,28,66,0,23
1,3818,23,404562836,90,G#,Major,64,10,62,7,48
1,3506,56,373199958,198,A#,Minor,59,71,42,55,10
1,410,36,14780425,140,C#,Major,56,48,73,0,35
1,148,24,39578178,82,G#,Major,51,22,53,1,15
2,1004,35,54266102,130,C#,Minor,77,84,89,17,43
1,22543,63,2557975762,81,B,Major,76,53,53,44,9
1,4511,36,751134527,94,C#,Minor,51,14,59,65,25
1,16413,61,2282771485,124,A#,Major,61,41,81,5,10
2,8506,45,1356565093,128,D,Major,62,55,78,1,23
1,33898,62,1592909789,138,F,Minor,49,42,62,9,11
1,3246,23,635412045,132,E,Major,58,27,48,50,12
2,8576,42,1230675890,131,D,Major,71,24,47,1,27
2,3618,38,585695368,168,F#,Minor,78,58,73,5,10
1,370,20,43857627,98,C#,Major,68,40,79,33,30
1,31123,55,2009094673,102,C#,Major,48,50,73,43,15
2,2790,30,600976848,101,A#,Major,34,32,57,78,20
2,267,9,39709092,130,F,Major,63,36,34,76,35
1,139,17,39228929,142,D,Major,50,20,64,1,12
2,17050,36,2665343922,170,C#,Major,59,48,76,4,10
2,2114,44,223633238,124,G#,Minor,78,70,68,3,11
1,17836,53,2887241814,110,C#,Major,50,45,41,75,11
2,8870,43,1440757818,92,C#,Minor,91,43,71,9,9
1,6060,53,165484133,116,D,Major,82,40,66,39,25
2,641,50,58054811,129,A,Major,63,84,82,70,9
1,1446,12,157058870,98,G#,Major,71,67,60,19,12
1,804,25,95131998,172,C#,Minor,74,76,76,6,10
2,1962,38,250305248,150,D,Major,68,14,76,4,10
1,4875,23,685032533,136,A,Minor,62,19,53,11,6
1,31,39,38411956,88,C#,Minor,53,34,47,9,83
2,2175,23,144565150,143,D#,Major,83,69,44,15,10
