released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
7,14,553,147,141381703,125,80,89,83,31,8
3,23,1474,48,133716286,92,71,61,74,7,10
6,30,1397,113,140003974,138,51,32,53,17,31
8,23,7858,100,800840817,170,55,58,72,11,11
5,18,3133,50,303236322,144,65,23,80,14,11
6,1,2186,91,183706234,141,92,66,58,19,8
3,16,3090,50,725980112,148,67,83,76,48,8
7,7,714,43,58149378,100,67,26,71,37,11
5,15,1096,83,95217315,130,85,22,62,12,28
3,17,2953,44,553634067,170,81,56,48,21,8
4,17,2876,40,505671438,83,57,56,72,23,27
7,7,422,55,58255150,150,78,52,82,18,15
1,12,12211,115,1316855716,118,71,65,68,6,3
4,14,3528,98,387570742,130,51,32,43,83,9
3,31,23575,130,2513188493,174,52,66,73,34,31
12,8,8109,77,1163093654,89,64,43,73,5,16
2,24,2942,77,496795686,120,78,76,59,43,34
7,13,873,104,30546883,78,44,14,9,96,10
3,31,2610,40,335222234,100,86,67,66,14,12
3,24,596,68,363369738,120,63,36,73,0,36
6,22,332,26,86444842,140,65,87,74,22,42
7,7,516,38,52135248,123,69,82,76,6,6
1,1,12859,110,1297026226,135,48,44,42,12,11
5,31,1313,40,200647221,133,85,81,67,26,12
6,2,1945,87,115364561,99,85,83,68,7,36
6,22,250,26,78300654,130,79,96,86,9,9
3,25,7112,77,899183384,107,80,82,80,43,14
6,29,859,40,61245289,122,81,74,71,14,56
1,31,2420,19,429829812,204,52,52,68,46,15
5,25,2988,101,127408954,110,67,78,85,2,33
7,13,864,78,22581161,126,74,35,84,0,11
6,28,266,34,52294266,168,56,63,87,39,11
12,2,6036,88,843957510,98,71,17,61,36,8
10,21,9082,56,999748277,97,64,51,63,12,19
2,23,4284,49,618990393,180,72,61,63,67,9
6,1,1150,31,123122413,120,81,63,68,11,11
4,7,672,34,188933502,150,61,39,73,37,11
1,1,11434,53,1355959075,96,75,57,68,9,13
1,1,7830,42,786181836,95,60,48,79,0,12
5,19,584,28,176553476,125,79,96,85,27,11
2,10,692,25,354495408,144,56,84,65,23,10
10,9,24094,78,2808096550,90,76,91,50,54,7
8,26,12482,80,1109433169,128,56,38,97,4,35
7,21,13387,64,1047101291,79,56,58,56,37,11
6,23,1117,80,65156199,144,77,75,58,52,23
11,27,3372,19,570515054,122,67,49,64,10,10
5,13,8431,76,1085685420,140,71,82,81,11,6
11,24,2483,59,1647990401,134,59,51,52,9,15
9,21,29536,79,2565529693,186,68,49,59,16,13
2,24,3408,47,518745108,67,53,50,53,23,44
6,2,1298,38,107753850,106,72,17,64,7,10
4,6,4277,66,177740666,128,60,23,91,0,12
2,24,1133,39,153372011,107,92,55,70,18,15
6,15,2259,59,57876440,130,67,96,88,12,8
10,15,18371,83,1813673666,123,45,13,54,70,9
11,29,43899,69,3703895074,171,50,38,80,0,9
2,24,2649,42,256483385,137,64,88,72,51,17
5,26,6804,45,1214083358,125,84,85,68,58,22
7,14,525,41,16011326,128,86,42,72,59,9
7,24,7923,29,812019557,130,61,53,58,55,27
5,4,731,15,111947664,130,86,59,96,50,9
2,3,5184,41,156338624,133,70,86,81,25,25
6,24,3107,39,720434240,101,88,72,59,62,9
3,24,4053,50,357925728,95,77,53,64,74,17
10,6,4637,38,674072710,98,90,40,59,0,10
1,1,31358,43,1755214421,173,43,28,66,0,23
10,21,3818,23,404562836,90,64,10,62,7,48
12,2,3506,56,373199958,198,59,71,42,55,10
7,14,410,36,14780425,140,56,48,73,0,35
7,7,148,24,39578178,82,51,22,53,1,15
6,23,1004,35,54266102,130,77,84,89,17,43
6,28,22543,63,2557975762,81,76,53,53,44,9
7,15,4511,36,751134527,94,51,14,59,65,25
5,14,16413,61,2282771485,124,61,41,81,5,10
7,6,8506,45,1356565093,128,62,55,78,1,23
1,1,33898,62,1592909789,138,49,42,62,9,11
7,17,3246,23,635412045,132,58,27,48,50,12
9,22,8576,42,1230675890,131,71,24,47,1,27
12,20,3618,38,585695368,168,78,58,73,5,10
6,22,370,20,43857627,98,68,40,79,33,30
1,1,31123,55,2009094673,102,48,50,73,43,15
4,22,2790,30,600976848,101,34,32,57,78,20
6,23,267,9,39709092,130,63,36,34,76,35
7,7,139,17,39228929,142,50,20,64,1,12
7,9,17050,36,2665343922,170,59,48,76,4,10
3,3,2114,44,223633238,124,78,70,68,3,11
11,8,17836,53,2887241814,110,50,45,41,75,11
5,6,8870,43,1440757818,92,91,43,71,9,9
6,22,6060,53,165484133,116,82,40,66,39,25
6,20,641,50,58054811,129,63,84,82,70,9
3,24,1446,12,157058870,98,71,67,60,19,12
3,17,804,25,95131998,172,74,76,76,6,10
3,17,1962,38,250305248,150,68,14,76,4,10
11,8,4875,23,685032533,136,62,19,53,11,6
6,5,31,39,38411956,88,53,34,47,9,83
5,12,2175,23,144565150,143,83,69,44,15,10
3,17,2000,46,127567540,100,49,17,35,71,11
12,9,2839,25,399686758,143,56,39,55,14,11
1,1,20333,52,983637508,112,56,24,66,7,12
6,9,674,47,118482347,93,62,57,59,3,38
1,1,8448,23,882831184,206,43,50,55,50,15
12,2,2110,58,286400165,88,68,17,71,15,11
4,14,2528,39,172825906,170,50,37,90,0,12
1,1,12985,61,1241559043,84,62,24,67,21,13
7,7,77,35,29562220,134,81,53,72,51,12
4,20,266,27,77309611,158,54,50,40,61,10
11,10,21097,52,1605224506,116,80,92,80,4,10
4,28,3423,21,1116995633,117,61,45,69,2,9
3,11,4198,44,838079900,114,77,65,72,2,7
1,1,14739,43,1163620694,108,61,47,68,0,13
1,1,26792,32,1093605526,144,74,37,53,7,21
12,2,213,6,179659294,130,51,18,44,76,11
6,22,58,18,39058561,116,77,79,62,33,15
7,7,99,15,36912123,121,65,49,78,0,17
2,17,41751,25,1205951614,112,64,54,81,36,11
12,9,21164,36,1791000570,100,70,47,52,30,6
2,25,2988,59,201660859,150,55,30,78,24,12
2,8,893,38,248088961,120,84,96,71,18,34
5,12,1094,34,90839753,127,82,89,85,4,23
7,24,7324,22,607123776,90,51,42,61,53,9
6,22,201,11,55842345,128,75,79,63,33,15
3,10,5120,48,211050784,143,64,31,87,4,8
7,15,2346,27,342897938,139,74,68,68,3,26
12,9,763,26,2762,162,49,78,64,19,11
6,11,457,24,330346424,92,81,39,60,31,7
8,19,3430,38,601863821,95,87,57,55,10,29
8,16,6074,52,1953533826,146,63,88,93,3,10
11,17,21915,34,2322580122,95,55,56,82,12,34
8,11,15032,30,2355719893,115,35,12,30,93,10
6,21,871,32,66902503,128,78,59,65,10,26
5,15,451,33,96273746,130,82,69,83,3,27
1,2,1783,27,430977451,127,80,74,77,36,11
1,1,9389,46,284819874,150,42,20,86,21,9
1,11,5724,44,721975598,122,78,50,63,27,9
4,20,13985,25,1217120710,140,52,20,85,0,7
6,2,1051,16,109276132,140,63,22,54,46,12
12,2,1682,46,276259178,119,75,48,53,18,18
5,22,182,8,54225632,110,76,96,72,32,9
1,1,16596,13,2559529074,95,60,17,45,16,11
7,20,2335,23,681583126,132,56,20,55,45,32
1,31,18986,23,2594040133,125,77,74,78,4,23
5,19,283,7,81102253,124,84,65,50,67,13
6,1,293,8,11956641,133,93,68,65,42,12
1,1,21081,43,1687664027,112,92,67,66,0,36
7,13,437,31,11599388,97,79,92,89,5,6
11,24,1275,32,611700552,90,59,52,48,38,10
5,6,6135,38,1133865788,80,65,27,69,8,53
1,1,20015,16,1089402494,172,45,33,59,6,8
5,10,1507,14,411747614,120,60,24,35,73,31
1,27,539,21,255932395,140,74,96,80,18,5
6,30,86,8,31873544,128,81,90,77,1,9
5,26,324,14,95053634,122,78,70,81,57,10
1,1,17138,37,1279434863,130,47,86,92,8,5
2,2,894,9,233801632,160,69,61,71,33,31
12,5,1622,9,1481349984,144,73,87,70,6,28
4,4,561,14,142095275,192,50,85,52,11,28
6,17,5871,27,618885532,163,54,40,67,0,9
